,coh,di,dotmode,dur,ntrials,pc,se,subj
216,0.12,0,2d,0.03333333333333333,916,0.4764312227074236,0.01660477917674846,ALL
217,0.12,1,2d,0.05,1075,0.5198511627906975,0.015629033200855708,ALL
218,0.12,2,2d,0.06666666666666667,920,0.6301945652173913,0.01564520279295908,ALL
219,0.12,3,2d,0.08333333333333333,726,0.7075674931129476,0.016237521461407018,ALL
220,0.12,4,2d,0.1,701,0.7728544935805992,0.015554282468666492,ALL
221,0.12,5,2d,0.11666666666666667,1054,0.6813159392789373,0.014847225551597603,ALL
222,0.12,6,2d,0.15,869,0.7801576524741081,0.014270896467972945,ALL
223,0.12,7,2d,0.18333333333333332,777,0.8309703989703989,0.013430276220854818,ALL
224,0.12,8,2d,0.21666666666666667,847,0.8107142857142857,0.013857845827447972,ALL
225,0.12,9,2d,0.26666666666666666,1063,0.839140169332079,0.011343211453816927,ALL
226,0.12,10,2d,0.3333333333333333,1060,0.8167481132075473,0.011923264155837285,ALL
227,0.12,11,2d,0.4166666666666667,777,0.8506640926640927,0.012815715707795175,ALL
228,0.12,12,2d,0.5,915,0.8960142076502733,0.010091205070595851,ALL
229,0.12,13,2d,0.6166666666666667,1058,0.8963875236294896,0.009523388437459182,ALL
230,0.12,14,2d,0.7666666666666667,816,0.9106446078431373,0.010111495968574701,ALL
231,0.12,15,2d,0.9333333333333333,980,0.9197357142857142,0.009215719896821151,ALL
232,0.12,16,2d,1.15,272,0.9119080882352941,0.018091707691680604,ALL
233,0.12,17,2d,1.4,156,0.9873205128205128,0.0090279978973558,ALL
234,0.12,18,2d,1.75,111,0.9817297297297297,0.012827143461654453,ALL
235,0.12,19,2d,2.1333333333333333,134,0.9698880597014924,0.014906265315059552,ALL
236,0.12,20,2d,2.6333333333333333,187,0.8081604278074868,0.0286287530566905,ALL
237,0.12,21,2d,3.2333333333333334,249,1.0,0.0,ALL
238,0.12,22,2d,3.966666666666667,234,0.893786324786325,0.020056676356460395,ALL
239,0.12,23,2d,4.866666666666666,332,0.9697259036144579,0.009258237950152052,ALL
