,A,B,T,bi,dotmode,coh,subj
44,0.9797480009376498,0.5,57.92608123282882,44,2d,0.25,ALL
45,0.9767236542705621,0.5,53.68677092510636,45,2d,0.25,ALL
46,0.9763515626248036,0.5,50.08153603604023,46,2d,0.25,ALL
47,0.9749714164096673,0.5,47.771128051366084,47,2d,0.25,ALL
48,0.9771483636317283,0.5,55.07049057090566,48,2d,0.25,ALL
49,0.9767506468710163,0.5,52.40630089320741,49,2d,0.25,ALL
0,0.6889130839114811,0.5,306.8755980243905,0,2d,0.03,ALL
1,0.7084783186586152,0.5,515.5799142981758,1,2d,0.03,ALL
2,0.6423603339812934,0.5,123.25376483993652,2,2d,0.03,ALL
3,0.693800069810324,0.5,351.5811282139682,3,2d,0.03,ALL
4,0.6890955975084285,0.5,305.507782844543,4,2d,0.03,ALL
5,0.681614923666902,0.5,295.6568633290538,5,2d,0.03,ALL
6,0.6432136542490728,0.5,117.92555394026725,6,2d,0.03,ALL
7,0.64143623985589,0.5,139.1618649980714,7,2d,0.03,ALL
8,0.650250927747859,0.5,133.5123232804823,8,2d,0.03,ALL
9,0.6711179246546276,0.5,251.2034567214738,9,2d,0.03,ALL
10,0.6761222225013754,0.5,231.54647515923082,10,2d,0.03,ALL
11,0.6383882589533428,0.5,104.09520791337577,11,2d,0.03,ALL
12,0.6441930682443878,0.5,103.81820348370607,12,2d,0.03,ALL
13,0.6352545623378989,0.5,104.17956496504,13,2d,0.03,ALL
14,0.6807177216361817,0.5,323.48552414352326,14,2d,0.03,ALL
15,0.6862384436660721,0.5,331.86871099800317,15,2d,0.03,ALL
16,0.6500645289866628,0.5,138.94829041051273,16,2d,0.03,ALL
17,0.6519870257277736,0.5,142.08508921144468,17,2d,0.03,ALL
18,0.6782838505354678,0.5,322.75636741230306,18,2d,0.03,ALL
